# These species names, database (RAM/FAO), and species categories
# were taken from the file
# `Compiled_Assessed_and_Unassessed_Data_5_with_Props.csv`
# by Sean on 2015-06-22
# the 3 categories correspond to the categories in the simulation dataset
spname,database,LH2
Stenotomus chrysops,FAO,D
Stenotomus chrysops,Ram,D
Stephanolepis cirrhifer,FAO,D
Stereolepis gigas,FAO,D
Strangomera bentincki,FAO,SP
Stromateus fiatola,FAO,NA
Tautoga onitis,Ram,D
Tenualosa ilisha,FAO,LP
Tenualosa toli,FAO,LP
Tetrapturus albidus,FAO,LP
Tetrapturus audax,FAO,LP
Tetrapturus pfluegeri,FAO,NA
Theragra chalcogramma,Ram,D
Thunnus alalunga,Ram,LP
Thunnus alalunga,FAO,LP
Thunnus albacares,FAO,LP
Thunnus albacares,Ram,LP
Thunnus atlanticus,FAO,LP
Thunnus maccoyii,FAO,LP
Thunnus obesus,FAO,LP
Thunnus obesus,Ram,LP
Thunnus orientalis,FAO,LP
Thunnus thynnus,Ram,LP
Thunnus tonggol,FAO,LP
Thyrsites atun,FAO,LP
Totoaba macdonaldi,FAO,D
Trachinotus carolinus,FAO,NA
Trachinotus mookalee,FAO,D
Trachinus draco,FAO,D
Trachurus capensis,FAO,LP
Trachurus capensis,Ram,LP
Trachurus declivis,FAO,SP
Trachurus japonicus,FAO,LP
Trachurus lathami,FAO,D
Trachurus mediterraneus,FAO,SP
Trachurus murphyi,Ram,LP
Trachurus picturatus,FAO,NA
Trachurus symmetricus,FAO,LP
Trachurus trachurus,FAO,SP
Trachurus trecae,FAO,SP
Trematomus eulepidotus,FAO,D
Trichiurus lepturus,FAO,LP
Trisopterus luscus,FAO,D
Trisopterus minutus,FAO,D
Tylosurus crocodilus,FAO,D
Umbrina canariensis,FAO,D
Umbrina canosai,FAO,D
Umbrina cirrosa,FAO,D
Urophycis brasiliensis,FAO,D
Urophycis chuss,FAO,D
Urophycis tenuis,FAO,D
Urophycis tenuis,Ram,D
Valamugil seheli,FAO,D
Variola louti,FAO,D
Xiphias gladius,FAO,LP
Xiphias gladius,Ram,LP
Zearaja nasuta,FAO,D
Zenopsis nebulosus,FAO,NA
Zeus faber,FAO,D
Zoarces viviparus,FAO,D
